seed,method,field,relative_l2,mae,max_absolute_error,mean_aligned_relative_l2
0,Adam Simple-Sum,u,0.05721784138414157,0.031171066727061422,0.4113947067940338,
0,Adam Simple-Sum,v,0.16270610885101178,0.0315793192063253,0.17413802068271889,
0,Adam Simple-Sum,p,7.1155869547415245,0.9442401050300279,1.168361211320341,0.3542438375493706
0,Adam + ConFIG,u,0.043878187420163174,0.026559051568118754,0.28116188615108295,
0,Adam + ConFIG,v,0.1676161874866696,0.03347574513434147,0.17770458381214393,
0,Adam + ConFIG,p,0.9637125274880243,0.1209507748648492,0.42398091404238686,0.3166940870271749
1,Adam Simple-Sum,u,0.03896520551343676,0.025669248135640293,0.22323525010496353,
1,Adam Simple-Sum,v,0.13543946709825236,0.02834032074439276,0.12845524424194465,
1,Adam Simple-Sum,p,0.7553704031710803,0.09427257559972846,0.255774064330221,0.2709440779319255
1,Adam + ConFIG,u,0.03588900283199777,0.022640307550376316,0.18571814784270657,
1,Adam + ConFIG,v,0.12559839680452156,0.025776799191124484,0.16387765814842778,
1,Adam + ConFIG,p,1.0551093447677435,0.13737581482520914,0.26632136061682643,0.21024339093092712
2,Adam Simple-Sum,u,0.034428247678739046,0.021994117990103108,0.22164577472502955,
2,Adam Simple-Sum,v,0.12456131614376795,0.024511657890253148,0.14912446725206507,
2,Adam Simple-Sum,p,18.037846608562802,2.3964313490481057,2.567621087980065,0.21295934928612545
2,Adam + ConFIG,u,0.032932008980064646,0.021760301779053713,0.2374934576779104,
2,Adam + ConFIG,v,0.12625243056728178,0.024223195897589665,0.19350934004738957,
2,Adam + ConFIG,p,10.279162064669837,1.3655389448613802,1.4608904674799086,0.17672574679459108
